Story,Reality Question,Reality Answer,Memory Question,Memory Answer,First-Order Belief A Question,First-Order Belief A Answer,First-Order Belief B Question,First-Order Belief B Answer,Second-Order Belief A Question,Second-Order Belief A Answer,Second-Order Belief B Question,Second-Order Belief B Answer
"1. Oliver entered the porch.
2. Owen entered the porch.
3. Abigail entered the porch.
4. The broccoli is in the bucket.
5. Abigail exited the porch.
6. Owen exited the porch.
7. Owen hates the peach
8. Oliver moved the broccoli to the pantry.",Where is the broccoli really?,pantry,Where was the broccoli at the beginning?,bucket,Where will Oliver look for the broccoli?,pantry,Where will Abigail look for the broccoli?,bucket,Where does Oliver think that Abigail searches for the broccoli?,pantry,Where does Abigail think that Oliver searches for the broccoli?,pantry
"1. Logan loves the beans
2. Ethan entered the office.
3. Jayden entered the pantry.
4. Logan entered the pantry.
5. The pineapple is in the drawer.
6. Jayden moved the pineapple to the bathtub.
7. Logan exited the pantry.
8. Ethan dislikes the tangerine
9. Jayden exited the pantry.
10. Logan entered the pantry.",Where is the pineapple really?,bathtub,Where was the pineapple at the beginning?,drawer,Where will Jayden look for the pineapple?,bathtub,Where will Logan look for the pineapple?,bathtub,Where does Jayden think that Logan searches for the pineapple?,bathtub,Where does Logan think that Jayden searches for the pineapple?,bathtub
"1. William likes the grapes
2. William entered the back_yard.
3. Avery entered the back_yard.
4. The slacks is in the bucket.
5. William exited the back_yard.
6. Avery moved the slacks to the crate.
7. Jacob likes the hat
8. Jacob entered the cellar.
9. Avery exited the back_yard.
10. William entered the back_yard.",Where is the slacks really?,crate,Where was the slacks at the beginning?,bucket,Where will Avery look for the slacks?,crate,Where will William look for the slacks?,crate,Where does Avery think that William searches for the slacks?,bucket,Where does William think that Avery searches for the slacks?,bucket
"1. Evelyn entered the bathroom.
2. William entered the bathroom.
3. The socks is in the crate.
4. Evelyn dislikes the socks
5. Evelyn exited the bathroom.
6. William moved the socks to the treasure_chest.",Where is the socks really?,treasure_chest,Where was the socks at the beginning?,crate,Where will William look for the socks?,treasure_chest,Where will Evelyn look for the socks?,crate,Where does William think that Evelyn searches for the socks?,crate,Where does Evelyn think that William searches for the socks?,crate
"1. James entered the dining_room.
2. Mila entered the dining_room.
3. The skirt is in the bottle.
4. Mila exited the dining_room.
5. James moved the skirt to the bathtub.",Where is the skirt really?,bathtub,Where was the skirt at the beginning?,bottle,Where will James look for the skirt?,bathtub,Where will Mila look for the skirt?,bottle,Where does James think that Mila searches for the skirt?,bottle,Where does Mila think that James searches for the skirt?,bottle
"1. Mason entered the crawlspace.
2. Mila entered the den.
3. Mason exited the crawlspace.
4. Carter entered the den.
5. The trousers is in the cupboard.
6. Carter moved the trousers to the box.
7. Mila exited the den.",Where is the trousers really?,box,Where was the trousers at the beginning?,cupboard,Where will Carter look for the trousers?,box,Where will Mila look for the trousers?,box,Where does Carter think that Mila searches for the trousers?,box,Where does Mila think that Carter searches for the trousers?,box
"1. Elizabeth entered the playroom.
2. Olivia entered the playroom.
3. The dress is in the bathtub.
4. Elizabeth exited the playroom.
5. Elizabeth entered the playroom.
6. Olivia moved the dress to the cupboard.",Where is the dress really?,cupboard,Where was the dress at the beginning?,bathtub,Where will Olivia look for the dress?,cupboard,Where will Elizabeth look for the dress?,cupboard,Where does Olivia think that Elizabeth searches for the dress?,cupboard,Where does Elizabeth think that Olivia searches for the dress?,cupboard
"1. Charlotte entered the master_bedroom.
2. Olivia entered the master_bedroom.
3. The jacket is in the bucket.
4. Jacob entered the master_bedroom.
5. Charlotte exited the master_bedroom.
6. Olivia moved the jacket to the drawer.",Where is the jacket really?,drawer,Where was the jacket at the beginning?,bucket,Where will Olivia look for the jacket?,drawer,Where will Charlotte look for the jacket?,bucket,Where does Olivia think that Charlotte searches for the jacket?,drawer,Where does Charlotte think that Olivia searches for the jacket?,drawer
"1. Avery entered the sunroom.
2. Isla entered the kitchen.
3. Avery exited the sunroom.
4. Isla likes the strawberry
5. Lily entered the kitchen.
6. The dress is in the treasure_chest.
7. Lily exited the kitchen.
8. Isla moved the dress to the suitcase.
9. Lily hates the turnip
10. Lily entered the kitchen.",Where is the dress really?,suitcase,Where was the dress at the beginning?,treasure_chest,Where will Isla look for the dress?,suitcase,Where will Lily look for the dress?,suitcase,Where does Isla think that Lily searches for the dress?,suitcase,Where does Lily think that Isla searches for the dress?,suitcase
"1. Isabella likes the t-shirt
2. Abigail entered the dining_room.
3. Elizabeth entered the dining_room.
4. The slippers is in the bathtub.
5. Abigail moved the slippers to the cupboard.
6. Elizabeth exited the dining_room.
7. Elizabeth entered the hall.",Where is the slippers really?,cupboard,Where was the slippers at the beginning?,bathtub,Where will Abigail look for the slippers?,cupboard,Where will Elizabeth look for the slippers?,cupboard,Where does Abigail think that Elizabeth searches for the slippers?,cupboard,Where does Elizabeth think that Abigail searches for the slippers?,cupboard
"1. Jack entered the crawlspace.
2. Mason entered the crawlspace.
3. The beans is in the bathtub.
4. Mason moved the beans to the box.
5. Jack loves the asparagus
6. Jack exited the crawlspace.
7. Mason likes the cherry
8. Jack entered the dining_room.",Where is the beans really?,box,Where was the beans at the beginning?,bathtub,Where will Mason look for the beans?,box,Where will Jack look for the beans?,box,Where does Mason think that Jack searches for the beans?,box,Where does Jack think that Mason searches for the beans?,box
"1. Lily entered the dining_room.
2. William entered the dining_room.
3. The underpants is in the box.
4. William exited the dining_room.
5. William entered the dining_room.
6. Abigail entered the cellar.
7. William dislikes the eggplant
8. Abigail exited the cellar.
9. Lily moved the underpants to the suitcase.",Where is the underpants really?,suitcase,Where was the underpants at the beginning?,box,Where will Lily look for the underpants?,suitcase,Where will William look for the underpants?,suitcase,Where does Lily think that William searches for the underpants?,suitcase,Where does William think that Lily searches for the underpants?,suitcase
"1. Elizabeth likes the grapes
2. Mia entered the cellar.
3. Avery entered the cellar.
4. The sweatshirt is in the container.
5. Mia exited the cellar.
6. Avery moved the sweatshirt to the crate.
7. Mia entered the cellar.",Where is the sweatshirt really?,crate,Where was the sweatshirt at the beginning?,container,Where will Avery look for the sweatshirt?,crate,Where will Mia look for the sweatshirt?,crate,Where does Avery think that Mia searches for the sweatshirt?,crate,Where does Mia think that Avery searches for the sweatshirt?,crate
"1. Olivia entered the lounge.
2. Jayden entered the lounge.
3. The turnip is in the basket.
4. Avery entered the lounge.
5. Jayden loves the lemon
6. Jayden likes the tomato
7. Jayden exited the lounge.
8. Avery exited the lounge.
9. Jayden entered the lounge.
10. Olivia moved the turnip to the envelope.",Where is the turnip really?,envelope,Where was the turnip at the beginning?,basket,Where will Olivia look for the turnip?,envelope,Where will Jayden look for the turnip?,envelope,Where does Olivia think that Jayden searches for the turnip?,envelope,Where does Jayden think that Olivia searches for the turnip?,envelope
"1. Mia entered the den.
2. Logan entered the den.
3. Ella hates the radish
4. The persimmon is in the bottle.
5. Mia exited the den.
6. Logan moved the persimmon to the crate.
7. Logan exited the den.
8. Ella entered the den.
9. Mia entered the den.",Where is the persimmon really?,crate,Where was the persimmon at the beginning?,bottle,Where will Logan look for the persimmon?,crate,Where will Mia look for the persimmon?,crate,Where does Logan think that Mia searches for the persimmon?,bottle,Where does Mia think that Logan searches for the persimmon?,bottle
"1. Lily entered the workshop.
2. Nathan dislikes the boots
3. Noah entered the workshop.
4. The underpants is in the basket.
5. Noah moved the underpants to the pantry.
6. Lily exited the workshop.",Where is the underpants really?,pantry,Where was the underpants at the beginning?,basket,Where will Noah look for the underpants?,pantry,Where will Lily look for the underpants?,pantry,Where does Noah think that Lily searches for the underpants?,pantry,Where does Lily think that Noah searches for the underpants?,pantry
