Story,Reality Question,Reality Answer,Memory Question,Memory Answer,First-Order Belief A Question,First-Order Belief A Answer,First-Order Belief B Question,First-Order Belief B Answer,Second-Order Belief A Question,Second-Order Belief A Answer,Second-Order Belief B Question,Second-Order Belief B Answer
"1. Oliver entered the porch.
2. Plush bear with vest entered the porch.
3. Abigail entered the porch.
4. The broccoli is in the bucket.
5. Abigail exited the porch.
6. Plush bear with vest exited the porch.
7. Plush bear with vest hates the peach
8. Oliver moved the broccoli to the pantry.",Where is the broccoli really?,pantry,Where was the broccoli at the beginning?,bucket,Where will Oliver look for the broccoli?,pantry,Where will Abigail look for the broccoli?,bucket,Where does Oliver think that Abigail searches for the broccoli?,pantry,Where does Abigail think that Oliver searches for the broccoli?,pantry
"1. Logan loves the beans
2. Ethan entered the office.
3. Toy robot with painted face entered the pantry.
4. Logan entered the pantry.
5. The pineapple is in the drawer.
6. Toy robot with painted face moved the pineapple to the bathtub.
7. Logan exited the pantry.
8. Ethan dislikes the tangerine
9. Toy robot with painted face exited the pantry.
10. Logan entered the pantry.",Where is the pineapple really?,bathtub,Where was the pineapple at the beginning?,drawer,Where will Toy robot with painted face look for the pineapple?,bathtub,Where will Logan look for the pineapple?,bathtub,Where does Toy robot with painted face think that Logan searches for the pineapple?,bathtub,Where does Logan think that Toy robot with painted face searches for the pineapple?,bathtub
"1. William likes the grapes
2. William entered the back_yard.
3. Teddy bear with blue hat entered the back_yard.
4. The slacks is in the bucket.
5. William exited the back_yard.
6. Teddy bear with blue hat moved the slacks to the crate.
7. Jacob likes the hat
8. Jacob entered the cellar.
9. Teddy bear with blue hat exited the back_yard.
10. William entered the back_yard.",Where is the slacks really?,crate,Where was the slacks at the beginning?,bucket,Where will Teddy bear with blue hat look for the slacks?,crate,Where will William look for the slacks?,crate,Where does Teddy bear with blue hat think that William searches for the slacks?,bucket,Where does William think that Teddy bear with blue hat searches for the slacks?,bucket
"1. Evelyn entered the bathroom.
2. Doll with freckles entered the bathroom.
3. The socks is in the crate.
4. Evelyn dislikes the socks
5. Evelyn exited the bathroom.
6. Doll with freckles moved the socks to the treasure_chest.",Where is the socks really?,treasure_chest,Where was the socks at the beginning?,crate,Where will Doll with freckles look for the socks?,treasure_chest,Where will Evelyn look for the socks?,crate,Where does Doll with freckles think that Evelyn searches for the socks?,crate,Where does Evelyn think that Doll with freckles searches for the socks?,crate
"1. James entered the dining_room.
2. Toy soldier with helmet entered the dining_room.
3. The skirt is in the bottle.
4. Toy soldier with helmet exited the dining_room.
5. James moved the skirt to the bathtub.",Where is the skirt really?,bathtub,Where was the skirt at the beginning?,bottle,Where will James look for the skirt?,bathtub,Where will Toy soldier with helmet look for the skirt?,bottle,Where does James think that Toy soldier with helmet searches for the skirt?,bottle,Where does Toy soldier with helmet think that James searches for the skirt?,bottle
"1. Mason entered the crawlspace.
2. Baby doll with bonnet entered the den.
3. Mason exited the crawlspace.
4. Carter entered the den.
5. The trousers is in the cupboard.
6. Carter moved the trousers to the box.
7. Baby doll with bonnet exited the den.",Where is the trousers really?,box,Where was the trousers at the beginning?,cupboard,Where will Carter look for the trousers?,box,Where will Baby doll with bonnet look for the trousers?,box,Where does Carter think that Baby doll with bonnet searches for the trousers?,box,Where does Baby doll with bonnet think that Carter searches for the trousers?,box
"1. Elizabeth entered the playroom.
2. Baby doll with bonnet entered the playroom.
3. The dress is in the bathtub.
4. Elizabeth exited the playroom.
5. Elizabeth entered the playroom.
6. Baby doll with bonnet moved the dress to the cupboard.",Where is the dress really?,cupboard,Where was the dress at the beginning?,bathtub,Where will Baby doll with bonnet look for the dress?,cupboard,Where will Elizabeth look for the dress?,cupboard,Where does Baby doll with bonnet think that Elizabeth searches for the dress?,cupboard,Where does Elizabeth think that Baby doll with bonnet searches for the dress?,cupboard
"1. Charlotte entered the master_bedroom.
2. Wooden puppet with strings entered the master_bedroom.
3. The jacket is in the bucket.
4. Jacob entered the master_bedroom.
5. Charlotte exited the master_bedroom.
6. Wooden puppet with strings moved the jacket to the drawer.",Where is the jacket really?,drawer,Where was the jacket at the beginning?,bucket,Where will Wooden puppet with strings look for the jacket?,drawer,Where will Charlotte look for the jacket?,bucket,Where does Wooden puppet with strings think that Charlotte searches for the jacket?,drawer,Where does Charlotte think that Wooden puppet with strings searches for the jacket?,drawer
"1. Avery entered the sunroom.
2. Doll with freckles entered the kitchen.
3. Avery exited the sunroom.
4. Doll with freckles likes the strawberry
5. Lily entered the kitchen.
6. The dress is in the treasure_chest.
7. Lily exited the kitchen.
8. Doll with freckles moved the dress to the suitcase.
9. Lily hates the turnip
10. Lily entered the kitchen.",Where is the dress really?,suitcase,Where was the dress at the beginning?,treasure_chest,Where will Doll with freckles look for the dress?,suitcase,Where will Lily look for the dress?,suitcase,Where does Doll with freckles think that Lily searches for the dress?,suitcase,Where does Lily think that Doll with freckles searches for the dress?,suitcase
"1. Isabella likes the t-shirt
2. Abigail entered the dining_room.
3. Toy robot with painted face entered the dining_room.
4. The slippers is in the bathtub.
5. Abigail moved the slippers to the cupboard.
6. Toy robot with painted face exited the dining_room.
7. Toy robot with painted face entered the hall.",Where is the slippers really?,cupboard,Where was the slippers at the beginning?,bathtub,Where will Abigail look for the slippers?,cupboard,Where will Toy robot with painted face look for the slippers?,cupboard,Where does Abigail think that Toy robot with painted face searches for the slippers?,cupboard,Where does Toy robot with painted face think that Abigail searches for the slippers?,cupboard
"1. Jack entered the crawlspace.
2. Toy mouse with whiskers entered the crawlspace.
3. The beans is in the bathtub.
4. Toy mouse with whiskers moved the beans to the box.
5. Jack loves the asparagus
6. Jack exited the crawlspace.
7. Toy mouse with whiskers likes the cherry
8. Jack entered the dining_room.",Where is the beans really?,box,Where was the beans at the beginning?,bathtub,Where will Toy mouse with whiskers look for the beans?,box,Where will Jack look for the beans?,box,Where does Toy mouse with whiskers think that Jack searches for the beans?,box,Where does Jack think that Toy mouse with whiskers searches for the beans?,box
